LoyaltyID,Policy ID,Automobile Lifetime Value,Coverage,Expiry Date,Employment Status,Income,Claim Location Type,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Level,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Premiums Over Claim,Expiry Month Number,Expiry Month,Policy Count
463610,EX97404,"2,155",Basic,15/01/2019,Unemployed,0,Suburban,70,22,67,3,1,Personal Auto,Personal L3,Offer 1,Branch,336,Four-Door Car,Medium,13.95833333,1,Jan,1
264053,HP73832,"3,797",Extended,25/01/2019,Employed,"20,217",Suburban,96,16,30,2,1,Personal Auto,Personal L1,Offer 2,Web,513.31,Four-Door Car,Medium,5.61064464,1,Jan,1
634663,ZX29705,"7,851",Basic,26/01/2019,Unemployed,0,Suburban,69,5,78,0,2,Corporate Auto,Corporate L3,Offer 4,Web,331.2,Four-Door Car,Medium,16.25,1,Jan,1
749821,NM42917,"9,928",Extended,05/01/2019,Employed,"58,703",Rural,127,32,26,2,6,Personal Auto,Personal L3,Offer 3,Agent,227.92,SUV,Small,14.48753949,1,Jan,1
237606,HU89665,"12,128",Basic,30/01/2019,Employed,"20,495",Suburban,61,7,36,0,2,Personal Auto,Personal L3,Offer 2,Agent,292.8,Four-Door Car,Medium,7.5,1,Jan,1
548035,NT75612,"19,339",Basic,19/01/2019,Employed,"22,784",Urban,70,11,68,0,2,Personal Auto,Personal L2,Offer 2,Agent,224.9,Four-Door Car,Medium,21.16496221,1,Jan,1
824545,GN64199,"2,652",Basic,09/01/2019,Unemployed,0,Suburban,73,2,35,0,1,Personal Auto,Personal L2,Offer 1,Branch,490.69,Four-Door Car,Medium,5.20695347,1,Jan,1
210001,BL29046,"5,332",Basic,20/01/2019,Employed,"68,931",Urban,66,32,30,0,7,Corporate Auto,Corporate L2,Offer 2,Branch,309.58,Four-Door Car,Medium,6.395762,1,Jan,1
548752,NP91656,"4,912",Basic,12/01/2019,Unemployed,0,Suburban,69,26,33,0,9,Personal Auto,Personal L2,Offer 4,Agent,496.8,Four-Door Car,Medium,4.58333333,1,Jan,1
288866,ZO16199,"5,354",Basic,15/01/2019,LTD,"17,099",Suburban,69,13,28,0,9,Personal Auto,Personal L2,Offer 1,Web,331.2,Four-Door Car,Small,5.83333333,1,Jan,1
901819,TC88451,"5,738",Basic,29/01/2019,Employed,"88,055",Urban,71,11,37,0,6,Personal Auto,Personal L1,Offer 4,Call Center,337.73,Four-Door Car,Medium,7.77840287,1,Jan,1
653922,QX22025,"12,149",Basic,08/01/2019,Employed,"37,025",Urban,101,15,36,0,2,Corporate Auto,Corporate L1,Offer 3,Branch,427.24,SUV,Medium,8.5104391,1,Jan,1
624925,HB12866,"7,450",Extended,20/01/2019,Unemployed,0,Suburban,206,7,92,0,1,Personal Auto,Personal L2,Offer 2,Agent,"1,483.2",Luxury SUV,Large,12.77777778,1,Jan,1
953182,IC55961,"20,553",Basic,25/01/2019,Unemployed,0,Suburban,187,22,107,1,2,Corporate Auto,Corporate L2,Offer 1,Agent,"1,430.34",Luxury SUV,Medium,13.98898164,1,Jan,1
714917,CC16034,"17,104",Basic,26/01/2019,Employed,"51,747",Suburban,71,8,71,0,2,Personal Auto,Personal L3,Offer 2,Web,340.8,Four-Door Car,Medium,14.79166667,1,Jan,1
330845,GP87031,"3,210",Extended,25/01/2019,Medical Leave,"23,554",Suburban,86,7,17,0,1,Corporate Auto,Corporate L3,Offer 4,Web,412.8,Four-Door Car,Small,3.54166667,1,Jan,1
541084,BL89983,"9,036",Premium,12/01/2019,Employed,"34,337",Suburban,113,20,44,0,9,Special Auto,Special L3,Offer 2,Web,542.4,Four-Door Car,Large,9.16666667,1,Jan,1
334945,WL69218,"17,436",Basic,08/01/2019,Employed,"54,105",Suburban,73,22,15,2,2,Personal Auto,Personal L3,Offer 2,Web,350.4,Two-Door Car,Medium,3.125,1,Jan,1
787548,YO29244,"7,995",Basic,17/01/2019,Employed,"25,239",Rural,100,30,59,0,7,Personal Auto,Personal L3,Offer 3,Branch,150.96,SUV,Medium,39.08320085,1,Jan,1
613970,LM44949,"5,683",Basic,28/01/2019,Employed,"36,938",Urban,70,32,31,0,3,Special Auto,Special L2,Offer 1,Agent,244.8,Four-Door Car,Medium,8.86437908,1,Jan,1
547124,KI55845,"13,682",Basic,14/01/2019,Employed,"55,588",Suburban,114,15,40,0,2,Personal Auto,Personal L2,Offer 1,Branch,547.2,SUV,Medium,8.33333333,1,Jan,1
940720,CO71128,"21,241",Basic,05/01/2019,Unemployed,0,Suburban,190,7,55,0,2,Personal Auto,Personal L2,Offer 2,Agent,"1,368",Luxury SUV,Medium,7.63888889,1,Jan,1
359583,YC63458,"5,893",Basic,21/01/2019,Employed,"86,498",Rural,74,13,13,1,5,Personal Auto,Personal L2,Offer 3,Agent,8.53,Two-Door Car,Medium,112.77842907,1,Jan,1
366458,FG46631,"16,699",Premium,16/01/2019,Employed,"81,400",Suburban,104,6,19,0,2,Special Auto,Special L2,Offer 2,Web,499.2,Four-Door Car,Small,3.95833333,1,Jan,1
112447,ZG82132,"4,119",Premium,13/01/2019,Employed,"69,379",Suburban,103,14,79,0,1,Personal Auto,Personal L2,Offer 1,Branch,494.4,Two-Door Car,Medium,16.45833333,1,Jan,1
771312,XE36531,"4,890",Extended,17/01/2019,Employed,"51,246",Suburban,122,4,89,0,1,Personal Auto,Personal L3,Offer 2,Web,817.69,SUV,Medium,13.27887097,1,Jan,1
346560,HF75891,"4,331",Basic,03/01/2019,Employed,"82,302",Suburban,106,11,92,0,1,Personal Auto,Personal L2,Offer 1,Branch,722.18,SUV,Medium,13.50355867,1,Jan,1
609177,MG66142,"9,517",Extended,03/01/2019,Unemployed,0,Suburban,87,13,76,0,2,Personal Auto,Personal L3,Offer 3,Agent,417.6,Four-Door Car,Small,15.83333333,1,Jan,1
556352,CM59084,"3,601",Basic,26/01/2019,Retired,"25,147",Suburban,101,7,54,0,1,Corporate Auto,Corporate L3,Offer 1,Agent,694.6,SUV,Medium,7.85200115,1,Jan,1
651384,AH65907,"2,859",Basic,25/01/2019,Employed,"51,790",Suburban,71,12,43,0,1,Personal Auto,Personal L3,Offer 2,Agent,340.8,Four-Door Car,Large,8.95833333,1,Jan,1
264145,DM59806,"3,571",Extended,11/01/2019,Employed,"73,853",Suburban,89,7,35,0,1,Personal Auto,Personal L3,Offer 2,Agent,427.2,Four-Door Car,Small,7.29166667,1,Jan,1
754581,ET90029,"25,627",Extended,09/01/2019,Medical Leave,"14,278",Urban,134,6,9,0,2,Personal Auto,Personal L2,Offer 2,Web,346.32,Sports Car,Small,3.48232848,1,Jan,1
419445,BM27144,"7,653",Basic,21/01/2019,Employed,"57,446",Rural,64,20,30,0,2,Personal Auto,Personal L3,Offer 1,Agent,77.45,Four-Door Car,Medium,24.79018722,1,Jan,1
880272,QQ89253,"10,222",Extended,24/01/2019,Unemployed,0,Suburban,134,23,16,0,4,Personal Auto,Personal L3,Offer 1,Agent,643.2,SUV,Small,3.33333333,1,Jan,1
547879,IL40123,"5,690",Basic,26/01/2019,Employed,"83,640",Suburban,70,20,13,0,4,Corporate Auto,Corporate L3,Offer 2,Branch,471.05,Two-Door Car,Medium,1.93185437,1,Jan,1
963642,QZ77637,"11,665",Basic,17/01/2019,Employed,"84,978",Rural,72,12,51,1,2,Corporate Auto,Corporate L1,Offer 1,Agent,166.77,Four-Door Car,Large,22.01834862,1,Jan,1
136194,XN41715,"7,396",Extended,25/01/2019,Employed,"71,135",Urban,92,11,64,1,3,Personal Auto,Personal L3,Offer 1,Branch,270.56,Four-Door Car,Medium,21.76227085,1,Jan,1
387834,OD69005,"10,482",Extended,31/01/2019,Employed,"39,102",Rural,88,11,98,0,2,Personal Auto,Personal L3,Offer 3,Agent,152.34,Four-Door Car,Medium,56.610214,1,Jan,1
360723,DM16101,"4,755",Basic,26/01/2019,Employed,"30,886",Rural,61,8,36,0,6,Special Auto,Special L2,Offer 2,Agent,8.32,Four-Door Car,Medium,263.94230769,1,Jan,1
700157,SJ71233,"7,424",Basic,17/01/2019,Unemployed,0,Suburban,107,27,27,0,9,Personal Auto,Personal L2,Offer 1,Branch,513.6,SUV,Medium,5.625,1,Jan,1
979548,FF22360,"2,687",Basic,06/01/2019,Employed,"82,210",Rural,68,33,46,4,1,Personal Auto,Personal L2,Offer 3,Call Center,51.96,Four-Door Car,Medium,60.20015396,1,Jan,1
189479,HW61722,"7,189",Basic,19/01/2019,Unemployed,0,Urban,66,15,24,0,2,Personal Auto,Personal L3,Offer 2,Web,278.57,Four-Door Car,Medium,5.68618301,1,Jan,1
551156,EE76374,"20,843",Basic,31/01/2019,Unemployed,0,Suburban,72,14,29,0,2,Personal Auto,Personal L3,Offer 1,Web,709.08,Four-Door Car,Medium,2.94466069,1,Jan,1
414727,DH93217,"29,875",Extended,02/01/2019,Employed,"52,651",Suburban,94,34,20,0,2,Personal Auto,Personal L3,Offer 3,Call Center,451.2,Two-Door Car,Small,4.16666667,1,Jan,1
312490,TH86528,"5,776",Extended,29/01/2019,Unemployed,0,Suburban,76,20,17,0,6,Personal Auto,Personal L1,Offer 3,Call Center,784.61,Two-Door Car,Small,1.64667797,1,Jan,1
271483,SX95355,"5,849",Basic,15/01/2019,Employed,"67,511",Suburban,73,3,5,0,8,Personal Auto,Personal L3,Offer 3,Call Center,350.4,Four-Door Car,Small,1.04166667,1,Jan,1
578137,DB75522,"6,988",Extended,16/01/2019,Employed,"22,436",Suburban,89,24,21,0,3,Special Auto,Special L2,Offer 2,Branch,427.2,Four-Door Car,Small,4.375,1,Jan,1
611442,IC94434,"8,258",Basic,28/01/2019,LTD,"23,815",Suburban,73,4,47,0,2,Corporate Auto,Corporate L1,Offer 2,Call Center,424.33,Four-Door Car,Medium,8.08568803,1,Jan,1
787077,KL80110,"9,333",Basic,28/01/2019,Employed,"89,513",Rural,116,5,12,0,6,Personal Auto,Personal L2,Offer 2,Branch,232.95,SUV,Medium,5.97553123,1,Jan,1
661779,WB73140,"5,448",Basic,07/01/2019,Unemployed,0,Suburban,73,17,15,0,3,Personal Auto,Personal L2,Offer 3,Agent,350.4,Four-Door Car,Medium,3.125,1,Jan,1
537852,IO25161,"2,280",Basic,04/01/2019,Unemployed,0,Urban,61,16,29,0,1,Personal Auto,Personal L2,Offer 2,Agent,283.88,Four-Door Car,Medium,6.23150627,1,Jan,1
889569,BZ12077,"4,322",Basic,09/01/2019,Unemployed,0,Suburban,119,0,37,0,1,Personal Auto,Personal L3,Offer 2,Agent,571.2,SUV,Medium,7.70833333,1,Jan,1
912239,VU72280,"5,319",Basic,06/01/2019,Employed,"25,134",Suburban,67,3,0,0,6,Corporate Auto,Corporate L2,Offer 2,Call Center,321.6,Four-Door Car,Small,0,1,Jan,1
273360,SO55284,"8,647",Basic,08/01/2019,Employed,"64,125",Urban,108,3,44,0,3,Personal Auto,Personal L1,Offer 2,Branch,369.82,SUV,Large,12.84949435,1,Jan,1
710414,ZB32409,"2,242",Basic,19/01/2019,Unemployed,0,Suburban,67,15,75,3,1,Personal Auto,Personal L1,Offer 1,Agent,618.36,Four-Door Car,Medium,8.12633417,1,Jan,1
515180,EK71077,"11,510",Basic,26/01/2019,Unemployed,0,Suburban,61,11,39,0,2,Corporate Auto,Corporate L1,Offer 3,Agent,439.2,Four-Door Car,Medium,5.41666667,1,Jan,1
825207,PR41853,"4,359",Basic,07/01/2019,Unemployed,0,Rural,118,18,91,0,1,Corporate Auto,Corporate L2,Offer 1,Agent,101.83,Sports Car,Medium,105.45026024,1,Jan,1
649186,KZ26788,"4,119",Premium,22/01/2019,Employed,"69,379",Suburban,103,14,79,0,1,Personal Auto,Personal L2,Offer 1,Branch,494.4,Two-Door Car,Medium,16.45833333,1,Jan,1
785270,TR39403,"3,682",Extended,12/01/2019,Employed,"77,951",Rural,93,28,46,3,1,Corporate Auto,Corporate L2,Offer 4,Branch,19.67,Two-Door Car,Medium,217.48856126,1,Jan,1
376144,IS53899,"6,993",Extended,18/01/2019,Employed,"94,652",Suburban,86,18,88,0,3,Personal Auto,Personal L3,Offer 1,Branch,412.8,Four-Door Car,Medium,18.33333333,1,Jan,1
105992,KD70601,"5,647",Basic,14/01/2019,Employed,"54,834",Urban,72,23,13,0,8,Corporate Auto,Corporate L3,Offer 3,Web,186.19,Four-Door Car,Medium,5.02712283,1,Jan,1
812237,IK60267,"2,731",Basic,08/01/2019,Employed,"24,967",Suburban,69,6,38,0,1,Personal Auto,Personal L2,Offer 3,Branch,331.2,Two-Door Car,Medium,7.91666667,1,Jan,1
546027,FE62142,"4,267",Basic,13/01/2019,Employed,"43,682",Rural,107,12,73,0,1,Corporate Auto,Corporate L3,Offer 3,Branch,148,SUV,Medium,52.77702703,1,Jan,1
292364,ON72594,"11,776",Extended,22/01/2019,Employed,"58,881",Urban,97,8,51,0,2,Personal Auto,Personal L2,Offer 4,Branch,354.89,Four-Door Car,Medium,13.93953056,1,Jan,1
642101,CT50487,"2,851",Basic,25/01/2019,Employed,"55,274",Suburban,71,14,35,0,1,Corporate Auto,Corporate L3,Offer 2,Call Center,484.73,Two-Door Car,Medium,5.1265653,1,Jan,1
714536,WT21922,"17,738",Basic,09/01/2019,Employed,"65,348",Rural,110,35,58,0,2,Corporate Auto,Corporate L1,Offer 1,Branch,134.12,Sports Car,Medium,47.56934089,1,Jan,1
579655,NE10467,"4,281",Basic,04/01/2019,Employed,"23,712",Suburban,106,2,12,0,1,Corporate Auto,Corporate L1,Offer 4,Call Center,508.8,SUV,Medium,2.5,1,Jan,1
890437,CE75354,"5,923",Basic,13/01/2019,Employed,"36,685",Suburban,74,15,25,0,5,Corporate Auto,Corporate L1,Offer 1,Branch,355.2,Four-Door Car,Medium,5.20833333,1,Jan,1
838533,GO77248,"5,002",Basic,31/01/2019,Unemployed,0,Suburban,72,3,56,0,3,Personal Auto,Personal L3,Offer 1,Agent,542.14,Four-Door Car,Small,7.43719334,1,Jan,1
699467,CO91673,"4,547",Basic,17/01/2019,Medical Leave,"29,031",Suburban,61,7,19,2,3,Personal Auto,Personal L2,Offer 2,Agent,292.8,Four-Door Car,Medium,3.95833333,1,Jan,1
696109,QG45324,"8,205",Basic,13/01/2019,Unemployed,0,Suburban,73,9,14,0,2,Personal Auto,Personal L2,Offer 1,Agent,350.4,Four-Door Car,Medium,2.91666667,1,Jan,1
485062,WV39838,"2,437",Basic,01/01/2019,Unemployed,0,Rural,65,34,84,0,1,Personal Auto,Personal L3,Offer 2,Branch,149.24,Two-Door Car,Large,36.58536585,1,Jan,1
157477,HN97052,"5,206",Basic,30/01/2019,Unemployed,0,Suburban,72,18,91,0,9,Personal Auto,Personal L3,Offer 1,Branch,345.6,Two-Door Car,Medium,18.95833333,1,Jan,1
684328,JS53793,"2,422",Basic,07/01/2019,Employed,"25,036",Suburban,61,11,30,1,1,Corporate Auto,Corporate L3,Offer 2,Agent,292.8,Four-Door Car,Large,6.25,1,Jan,1
662380,PT15464,"9,149",Basic,29/01/2019,Employed,"68,236",Rural,114,2,75,0,6,Personal Auto,Personal L3,Offer 2,Agent,20.73,SUV,Medium,412.44573082,1,Jan,1
649798,AY26056,"7,949",Basic,12/01/2019,Employed,"63,892",Rural,66,2,80,0,2,Personal Auto,Personal L3,Offer 1,Agent,90.71,Four-Door Car,Medium,58.20747437,1,Jan,1
459788,MZ88454,"4,775",Basic,02/01/2019,Unemployed,0,Suburban,70,20,81,0,9,Personal Auto,Personal L1,Offer 1,Call Center,336,Four-Door Car,Medium,16.875,1,Jan,1
499422,PP92749,"3,939",Extended,26/01/2019,Employed,"60,021",Suburban,99,12,28,0,1,Special Auto,Special L2,Offer 2,Agent,882.87,Four-Door Car,Small,3.1397601,1,Jan,1
179714,SY48591,"4,828",Basic,16/01/2019,Unemployed,0,Suburban,68,29,91,0,6,Personal Auto,Personal L3,Offer 1,Branch,326.4,Four-Door Car,Medium,18.95833333,1,Jan,1
616339,UB17669,"2,359",Basic,29/01/2019,LTD,"19,864",Suburban,63,22,96,0,1,Personal Auto,Personal L3,Offer 1,Web,352.39,Four-Door Car,Medium,17.16280258,1,Jan,1
150897,HU57895,"6,861",Basic,31/01/2019,Unemployed,0,Suburban,109,5,20,4,7,Corporate Auto,Corporate L1,Offer 1,Call Center,605.14,Sports Car,Medium,3.60247216,1,Jan,1
352053,PZ31902,"5,798",Basic,04/01/2019,Employed,"69,276",Urban,74,14,22,2,8,Personal Auto,Personal L3,Offer 4,Web,201.33,Two-Door Car,Medium,8.08622659,1,Jan,1
456716,TP12436,"5,329",Basic,20/01/2019,Unemployed,0,Suburban,72,18,39,0,4,Personal Auto,Personal L2,Offer 2,Agent,345.6,Four-Door Car,Large,8.125,1,Jan,1
290249,QK18099,"5,376",Basic,19/01/2019,Employed,"69,050",Suburban,67,17,38,0,3,Personal Auto,Personal L2,Offer 3,Web,334.89,Four-Door Car,Large,7.60249634,1,Jan,1
349730,IA56290,"2,516",Basic,26/01/2019,Employed,"88,435",Rural,62,16,61,0,1,Personal Auto,Personal L3,Offer 3,Branch,136.26,Four-Door Car,Small,27.75576105,1,Jan,1
562066,IS45756,"4,757",Extended,19/01/2019,Employed,"48,938",Suburban,121,23,20,0,1,Personal Auto,Personal L2,Offer 1,Call Center,580.8,SUV,Large,4.16666667,1,Jan,1
727249,AM34581,"6,680",Extended,28/01/2019,Employed,"24,432",Rural,87,19,44,3,6,Corporate Auto,Corporate L2,Offer 2,Branch,71.11,Two-Door Car,Medium,53.83209113,1,Jan,1
865066,CF62430,"9,130",Basic,27/01/2019,Employed,"70,973",Suburban,114,6,24,1,3,Personal Auto,Personal L2,Offer 1,Agent,547.2,SUV,Small,5,1,Jan,1
790258,FF94034,"8,496",Basic,01/01/2019,Employed,"88,895",Rural,106,0,87,0,8,Personal Auto,Personal L1,Offer 1,Branch,209.86,Sports Car,Medium,43.94358144,1,Jan,1
872774,MX69639,"10,442",Extended,17/01/2019,Employed,"30,786",Rural,90,3,5,0,2,Personal Auto,Personal L3,Offer 2,Branch,28.65,Four-Door Car,Large,15.70680628,1,Jan,1
591381,GX40957,"18,732",Basic,16/01/2019,Employed,"70,187",Suburban,117,4,61,0,2,Personal Auto,Personal L3,Offer 3,Call Center,632.16,Sports Car,Medium,11.28986333,1,Jan,1
516976,RT23641,"5,163",Extended,09/01/2019,Employed,"35,577",Urban,130,1,6,0,1,Personal Auto,Personal L3,Offer 1,Branch,574.51,SUV,Medium,1.35767872,1,Jan,1
981643,CJ97736,"5,828",Basic,11/01/2019,Employed,"31,364",Suburban,74,28,47,0,3,Personal Auto,Personal L3,Offer 2,Web,461.27,Four-Door Car,Small,7.54005246,1,Jan,1
881749,FB76635,"4,297",Basic,20/01/2019,Employed,"61,737",Urban,107,21,65,0,1,Personal Auto,Personal L3,Offer 1,Branch,495.67,Sports Car,Medium,14.0315129,1,Jan,1
564919,GH90738,"3,580",Extended,22/01/2019,Employed,"71,176",Urban,91,3,62,2,1,Personal Auto,Personal L2,Offer 2,Web,278.07,Two-Door Car,Medium,20.28985507,1,Jan,1
857849,LN99977,"4,062",Basic,19/01/2019,Employed,"30,061",Suburban,104,4,22,0,1,Special Auto,Special L2,Offer 1,Web,499.2,Sports Car,Large,4.58333333,1,Jan,1
420928,VQ97965,"3,514",Extended,10/01/2019,Employed,"73,643",Rural,89,2,2,0,1,Corporate Auto,Corporate L3,Offer 2,Agent,147.49,Four-Door Car,Medium,1.20686148,1,Jan,1
862910,HS28694,"2,830",Basic,24/01/2019,Employed,"25,317",Rural,71,15,97,0,1,Personal Auto,Personal L2,Offer 4,Branch,50.42,Two-Door Car,Medium,136.59262198,1,Jan,1
511529,PK58026,"5,736",Basic,17/01/2019,Employed,"96,917",Suburban,71,31,16,0,9,Personal Auto,Personal L3,Offer 2,Agent,373.05,Two-Door Car,Medium,3.04516821,1,Jan,1
925450,GV75215,"13,168",Basic,20/01/2019,Employed,"54,684",Urban,111,13,15,3,2,Corporate Auto,Corporate L3,Offer 2,Agent,302.14,Sports Car,Medium,5.51069041,1,Jan,1
833038,VA82895,"4,113",Basic,27/01/2019,LTD,"25,030",Suburban,113,16,97,4,1,Personal Auto,Personal L3,Offer 2,Branch,542.4,Sports Car,Medium,20.20833333,1,Jan,1
210339,AN57220,"17,264",Basic,30/01/2019,Employed,"96,917",Rural,61,24,2,0,2,Special Auto,Special L3,Offer 4,Web,71.94,Four-Door Car,Medium,1.69585766,1,Jan,1
163992,SG20925,"5,186",Basic,29/01/2019,Employed,"99,428",Rural,64,16,25,1,5,Personal Auto,Personal L3,Offer 1,Call Center,48.05,Four-Door Car,Medium,33.29864724,1,Jan,1
991812,SK55033,"2,470",Basic,13/01/2019,Employed,"92,711",Suburban,62,24,10,0,1,Personal Auto,Personal L2,Offer 3,Agent,368.4,Two-Door Car,Medium,1.68295331,1,Jan,1
898716,YB58778,"5,329",Basic,27/01/2019,Employed,"81,064",Rural,70,20,4,4,3,Personal Auto,Personal L3,Offer 1,Agent,42.24,Two-Door Car,Large,6.62878788,1,Jan,1
810628,ZS50183,"8,002",Basic,19/01/2019,Unemployed,0,Suburban,107,3,65,0,3,Corporate Auto,Corporate L3,Offer 1,Agent,513.6,SUV,Medium,13.54166667,1,Jan,1
608974,PD82395,"8,650",Premium,12/01/2019,Unemployed,0,Suburban,115,0,3,0,3,Special Auto,Special L1,Offer 1,Branch,824.6,Four-Door Car,Small,0.41838467,1,Jan,1
679172,TP51897,"2,622",Basic,23/01/2019,Employed,"36,843",Suburban,68,12,11,3,1,Corporate Auto,Corporate L1,Offer 4,Agent,357.64,Four-Door Car,Medium,2.09148865,1,Jan,1
996077,VD19899,"27,542",Premium,10/01/2019,Employed,"50,494",Urban,114,19,15,0,2,Personal Auto,Personal L3,Offer 2,Call Center,491.32,Two-Door Car,Medium,3.48042009,1,Jan,1
244676,RC74014,"4,990",Basic,06/01/2019,Unemployed,0,Suburban,71,3,84,0,6,Special Auto,Special L3,Offer 3,Web,849.67,Two-Door Car,Small,7.01919569,1,Jan,1
252791,OR33365,"5,171",Basic,22/01/2019,Unemployed,0,Suburban,69,13,90,0,3,Corporate Auto,Corporate L2,Offer 1,Agent,344.47,Two-Door Car,Medium,18.02769472,1,Jan,1
573796,FZ89300,"3,674",Extended,09/01/2019,Employed,"69,555",Urban,92,16,59,0,1,Personal Auto,Personal L2,Offer 1,Agent,255.28,Four-Door Car,Medium,21.26292698,1,Jan,1
219924,IO73222,"5,408",Basic,10/01/2019,LTD,"22,555",Suburban,70,1,62,0,3,Personal Auto,Personal L1,Offer 1,Agent,336,Two-Door Car,Medium,12.91666667,1,Jan,1
405103,NG15645,"2,858",Basic,11/01/2019,Employed,"27,382",Rural,71,33,35,0,1,Personal Auto,Personal L2,Offer 2,Web,134.1,Four-Door Car,Medium,18.53094705,1,Jan,1
489418,HP27902,"23,537",Basic,08/01/2019,Employed,"33,747",Urban,199,29,105,0,2,Corporate Auto,Corporate L2,Offer 3,Branch,832.7,Luxury Car,Medium,25.09307073,1,Jan,1
227377,ZN65873,"3,732",Extended,12/01/2019,Unemployed,0,Suburban,96,31,34,0,1,Corporate Auto,Corporate L3,Offer 1,Agent,460.8,Four-Door Car,Large,7.08333333,1,Jan,1
199477,KR90607,"3,721",Basic,25/01/2019,Unemployed,0,Suburban,101,16,59,0,1,Personal Auto,Personal L1,Offer 1,Agent,862.5,SUV,Medium,6.90898551,1,Jan,1
737769,SH60585,"5,799",Basic,02/01/2019,Employed,"65,538",Urban,72,24,86,0,3,Personal Auto,Personal L3,Offer 4,Web,261.34,Four-Door Car,Small,23.69327313,1,Jan,1
250519,VW65691,"4,314",Basic,04/01/2019,Unemployed,0,Suburban,64,16,42,1,5,Personal Auto,Personal L3,Offer 1,Call Center,460.8,Four-Door Car,Small,5.83333333,1,Jan,1
882044,WB21698,"3,723",Extended,29/01/2019,Employed,"31,974",Urban,92,25,77,0,1,Personal Auto,Personal L3,Offer 2,Branch,388.14,Four-Door Car,Medium,18.25114649,1,Jan,1
297334,IC51895,"10,970",Extended,16/01/2019,Employed,"38,873",Suburban,92,6,33,0,2,Personal Auto,Personal L2,Offer 2,Branch,599.81,Two-Door Car,Medium,5.06160284,1,Jan,1
365642,KZ80383,"6,035",Extended,27/01/2019,Employed,"29,587",Suburban,76,25,4,0,3,Personal Auto,Personal L2,Offer 2,Branch,422.02,Four-Door Car,Medium,0.72034501,1,Jan,1
136095,VT16570,"6,781",Extended,02/01/2019,Employed,"30,324",Rural,86,15,67,0,8,Corporate Auto,Corporate L2,Offer 1,Call Center,143.94,Four-Door Car,Medium,40.03056829,1,Jan,1
263085,EE28119,"4,670",Premium,09/01/2019,Employed,"69,921",Urban,118,28,22,2,1,Personal Auto,Personal L3,Offer 1,Agent,373.23,Two-Door Car,Medium,6.95549661,1,Jan,1
